DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES,MES
BHS,BOG,1200,35112,139833540,DIC
BHS,BOG,5100,133518,531735435,DIC
BHS,BOG,8000,516388,2030742284,DIC
BHS,BOG,3200,112000,440450080,DIC
BHR,BOG,80000,25600,101293056,DIC
BHR,BOG,73200,40176,158966789,DIC
BHR,BOG,18000,6480,25639804,DIC
BHR,BOG,3000,43200,170932032,DIC
BHR,BOG,331200,217050,868076281,DIC
BHR,BOG,360500,210490,839760379,DIC
BHR,BOG,24000,6720,26809776,DIC
BHR,BOG,2700,7277,28985382,DIC
BHR,BOG,800,3876,15438689,DIC
BHR,BOG,10250,25627,102076185,DIC
BHR,BOG,396,2189,8719115,DIC
BHR,BOG,25000,4500,17952975,DIC
BHR,BOG,1100000,132000,526620600,DIC
BHR,BOG,10800,10800,42870762,DIC
BHR,BOG,293000,89990,358639195,DIC
BHR,BOG,1412500,353125,1382636218,DIC
BHR,BOG,1304500,269200,1076332316,DIC
BHR,BOG,25000,2500,9857575,DIC
BHR,BOG,18000,1800,7097454,DIC
BHR,BOG,669600,435010,1715257480,DIC
BHR,BOG,40700,150419,593106629,DIC
BHR,BOG,2800,21200,83592236,DIC
BRB,BOG,100,1,3943,DIC
BRB,BOG,400,51736,204706935,DIC
BRB,BOG,1600,288872,1148689813,DIC
BRB,BOG,44800,3226598,12835568918,DIC
BRB,BOG,388900,6107598,24315354615,DIC
BRB,BOG,1000,91500,363492351,DIC
BRB,BOG,1200,141568,562620914,DIC
BRB,BOG,351100,4702979,18732670802,DIC
BRB,BOG,123,101821,394194910,DIC
BEL,BOG,54445,1591699,6232186015,DIC
BEL,BOG,8800,265866,1058984157,DIC
BEL,BOG,36400,245820,983257876,DIC
BEL,BOG,32000,95600,382391396,DIC
BEL,BOG,36000,108000,431990280,DIC
BEL,BOG,43320,353284,1413104204,DIC
BEL,BOG,1188000,1636800,6465466392,DIC
BEL,BOG,1635000,297100,1166346267,DIC
BEL,BOG,65600,557600,2143866056,DIC
BEL,BOG,24000,204000,784341240,DIC
BEL,BOG,4180,6510240,26037249163,DIC
BEL,BOG,5783,544000,2166833600,DIC
BEL,BOG,241500,15000,59998650,DIC
BEL,BOG,16329,667262,2565495610,DIC
BEL,BOG,132300,717279,2757801471,DIC
BEL,BOG,16230000,5250100,21122254821,DIC
BEL,BOG,120000,1570800,6282304644,DIC
BEL,BOG,8689500,1703760,6696100287,DIC
BLZ,BOG,160,21600,84573288,DIC
BLZ,BOG,92981,1978359,7763594369,DIC
BLZ,BOG,1020,31000,121378330,DIC
BMU,BOG,2000,78498,309952492,DIC
BMU,BOG,4200,238316,941000258,DIC
BMU,BOG,10000,62594,247154912,DIC
BMU,BOG,4900,280790,1108710546,DIC
BMU,BOG,16900,336641,1329240454,DIC
BMU,BOG,200,180,710737,DIC
BLR,BOG,338400,337050,1333625958,DIC
BLR,BOG,2627000,2632488,10416123218,DIC
BLR,BOG,6950000,2370603,9482198645,DIC
BLR,BOG,740000,141700,566787247,DIC
BLR,BOG,3855000,755349,3021328018,DIC
BLR,BOG,770000,283350,1128625552,DIC
BLR,BOG,300000,57000,227039549,DIC
BLR,BOG,64000,23520,93683688,DIC
BLR,BOG,960000,329450,1317770349,DIC
BLR,BOG,1280000,243200,972778112,DIC
BLR,BOG,5325000,1773901,7095444348,DIC
