DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
BOL,BOG,5100,18500,73218745
BOL,BOG,1000,10252,40575058
BOL,BOG,111200,276275,1099319256
BOL,BOG,400,7636,30221531
BOL,BOG,26900,97293,385755067
BOL,BOG,4800,12911,51318480
BOL,BOG,300,14725,58278163
BOL,BOG,4500,49195,194702495
BOL,BOG,1200,21156,83730582
BOL,BOG,500,3085,12477313
BOL,BOG,500,3605,14580458
BOL,BOG,200,6120,24221552
BOL,BOG,100,1930,7638496
BOL,BOG,1100,10813,43733286
BOL,BOG,2400,22304,88274102
BOL,BOG,2200,17300,68469420
BOL,BOG,3100,40513,160341135
BOL,BOG,1900,9880,39102767
BOL,BOG,32500,136506,545748258
BOL,BOG,500,1775,7179005
BOL,BOG,4400,16148,65087911
BOL,BOG,6300,27604,109701678
BOL,BOG,9000,30092,119097214
BOL,BOG,966,123280,498607192
BOL,BOG,120000,78000,315471780
BOL,BOG,59000,15340,62042783
BOL,BOG,168300,441239,1805695596
BOL,BOG,73800,191030,781757799
BOL,BOG,58600,313262,1281971480
BOL,BOG,33484,222689,885208817
BOL,BOG,16072,30504,122759536
BOL,BOG,335006,760142,3026318549
BOL,BOG,3450,7429,29530943
BOL,BOG,4032,7176,28525245
BOL,BOG,21576,48996,194763509
BOL,BOG,81888,153922,616327968
BOL,BOG,7913,17741,71564178
BOL,BOG,3642,8166,32940255
BOL,BOG,12470,23798,94959384
BOL,BOG,27800,53158,214321430
BOL,BOG,17532,33187,133149388
BOL,BOG,19487,41586,166099907
BOL,BOG,14889,202466,812995652
BOL,BOG,11134,106450,428714179
BOL,BOG,140191,15479648,61942689074
BOL,BOG,10773,1007722,3988331899
BOL,BOG,4597,571392,2350872391
BOL,BOG,53621,6428156,26447297948
BOL,BOG,70902,6588293,27106148003
BOL,BOG,4353,439700,1809053312
BOL,BOG,72000,3270550,13098748983
BOL,BOG,42471,1802490,7165059974
BOL,BOG,157956,5231234,20918022299
BOL,BOG,208684,8737425,34993911368
BOL,BOG,30400,511555,2093451873
BOL,BOG,2250,4040,16059363
BOL,BOG,4645,9810,39175846
